@relation vowel_ica_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,-0.391923,-0.931192,1.09872,0.868268,class0,cluster5
1,-0.586011,-0.88172,1.072026,0.667019,class1,cluster5
2,0.025172,-1.029219,1.158039,1.225293,class2,cluster5
3,0.892281,-1.209487,1.148619,0.951907,class3,cluster5
4,-1.015713,-0.784998,0.983329,0.087265,class4,cluster2
5,-1.078777,-0.754242,0.945275,-0.161398,class5,cluster2
6,-0.976147,-0.726659,0.825867,-1.013159,class6,cluster2
7,-0.001298,-0.915398,0.853141,-0.978461,class7,cluster2
8,-0.07156,-0.936667,0.935067,-0.358758,class8,cluster2
9,0.583254,-1.139559,1.093453,0.618828,class9,cluster5
10,0.833276,-1.148666,1.024034,0.081492,class10,cluster5
11,-0.41851,-0.91464,1.071402,0.662767,class0,cluster5
12,-0.512606,-0.90477,1.102102,0.894175,class1,cluster5
13,0.028082,-1.031005,1.16506,1.28395,class2,cluster5
14,0.536766,-1.144239,1.135094,0.915032,class3,cluster5
15,-0.401934,-0.906909,0.991783,0.021795,class4,cluster2
16,-1.028005,-0.759576,0.932985,-0.269705,class5,cluster2
17,-1.148473,-0.695925,0.830293,-0.931603,class6,cluster2
18,0.082435,-0.926049,0.842059,-1.066711,class7,cluster2
19,0.012794,-0.953009,0.900033,-0.649185,class8,cluster2
20,0.417079,-1.108785,1.10212,0.725174,class9,cluster5
21,1.058335,-1.195053,1.034394,0.127928,class10,cluster5
22,-0.224052,-0.955489,1.07499,0.653626,class0,cluster5
23,-0.325003,-0.933907,1.068873,0.606395,class1,cluster5
24,0.225628,-1.083572,1.192032,1.434321,class2,cluster5
25,0.950265,-1.222294,1.142617,0.898241,class3,cluster5
26,-0.046723,-0.982253,1.017945,0.166605,class4,cluster5
27,-1.453365,-0.681906,0.930175,-0.199836,class5,cluster2
28,-1.866308,-0.570556,0.842945,-0.670193,class6,cluster4
29,-0.113698,-0.878547,0.81767,-1.197484,class7,cluster2
30,0.178517,-0.9807,0.917565,-0.537706,class8,cluster2
31,0.111431,-1.046114,1.102768,0.793435,class9,cluster5
32,0.927324,-1.170775,1.047385,0.244441,class10,cluster5
33,-0.192968,-0.961506,1.068937,0.600496,class0,cluster5
34,-0.211947,-0.950622,1.057503,0.499783,class1,cluster5
35,0.233813,-1.096686,1.215433,1.605262,class2,cluster5
36,0.903431,-1.221885,1.165774,1.073228,class3,cluster5
37,0.020981,-1.00442,1.048217,0.380777,class4,cluster5
38,-2.116221,-0.564682,0.946507,0.073414,class5,cluster4
39,-1.429885,-0.650466,0.839585,-0.792889,class6,cluster2
40,-1.634001,-0.603861,0.822942,-0.881234,class7,cluster4
41,0.50129,-1.046397,0.927618,-0.525834,class8,cluster2
42,0.241278,-1.079222,1.092067,0.680252,class9,cluster5
43,0.7699,-1.146941,1.069294,0.433403,class10,cluster5
44,-0.193112,-0.962103,1.060176,0.531812,class0,cluster5
45,-0.301417,-0.931602,1.054236,0.50486,class1,cluster5
46,0.199818,-1.080798,1.198165,1.502802,class2,cluster5
47,0.912825,-1.230447,1.19025,1.266639,class3,cluster5
48,-0.417514,-0.921955,1.047565,0.464811,class4,cluster5
49,-2.351894,-0.524377,0.95777,0.211109,class5,cluster4
50,-1.032803,-0.722187,0.833659,-0.916864,class6,cluster2
51,-0.529406,-0.776266,0.747694,-1.611375,class7,cluster2
52,0.411873,-1.031829,0.942114,-0.388977,class8,cluster2
53,0.647049,-1.159105,1.089434,0.596308,class9,cluster5
54,0.938893,-1.176281,1.058115,0.322357,class10,cluster5
55,-0.134311,-0.977637,1.068314,0.584393,class0,cluster5
56,-0.557903,-0.87819,1.048725,0.522191,class1,cluster5
57,0.140349,-1.065758,1.191021,1.459927,class2,cluster5
58,0.783906,-1.205249,1.189473,1.289177,class3,cluster5
59,-0.391719,-0.925573,1.052564,0.515115,class4,cluster5
60,-1.763725,-0.62826,0.946353,-0.002492,class5,cluster4
61,-0.944679,-0.740977,0.83474,-0.922054,class6,cluster2
62,-0.750298,-0.725528,0.722053,-1.745019,class7,cluster2
63,0.019677,-0.96473,0.983024,-0.000819,class8,cluster2
64,0.935999,-1.206634,1.091042,0.585934,class9,cluster5
65,1.090507,-1.206089,1.056434,0.282316,class10,cluster5
66,-2.876786,-0.413428,0.907672,-0.098838,class0,cluster4
67,-0.119462,-0.983101,1.012209,0.082285,class1,cluster5
68,-0.385429,-0.968621,1.108361,0.890787,class2,cluster5
69,0.22566,-1.132018,1.197294,1.484108,class3,cluster5
70,-0.500596,-0.869688,0.908815,-0.548503,class4,cluster2
71,-1.142855,-0.775894,0.972198,-0.031869,class5,cluster2
72,-0.446908,-0.922063,0.948514,-0.164816,class6,cluster2
73,-3.003336,-0.315013,0.733232,-1.232098,class7,cluster4
74,-2.617353,-0.396112,0.757312,-1.186608,class8,cluster4
75,-2.888501,-0.344178,0.770635,-1.022095,class9,cluster4
76,-1.638154,-0.637938,0.889893,-0.473128,class10,cluster2
77,-3.141369,-0.356231,0.894192,-0.143395,class0,cluster4
78,-0.203314,-0.966174,1.010656,0.101701,class1,cluster5
79,-0.214328,-1.002617,1.111384,0.873978,class2,cluster5
80,0.168604,-1.102439,1.158112,1.193599,class3,cluster5
81,-0.357571,-0.903133,0.922899,-0.46098,class4,cluster2
82,-1.284242,-0.74131,0.944508,-0.191405,class5,cluster2
83,0.305012,-1.037054,0.901527,-0.687883,class6,cluster2
84,-3.065862,-0.304552,0.727617,-1.262729,class7,cluster4
85,-2.674298,-0.383509,0.747814,-1.216393,class8,cluster4
86,-2.362155,-0.427943,0.722122,-1.499923,class9,cluster4
87,-2.560182,-0.447772,0.873445,-0.421737,class10,cluster4
88,-3.495597,-0.281302,0.885446,-0.141949,class0,cluster4
89,-0.210042,-0.965716,1.013832,0.128048,class1,cluster5
90,-0.32517,-0.96551,1.081895,0.696917,class2,cluster5
91,0.114985,-1.08412,1.135728,1.026684,class3,cluster5
92,-0.246811,-0.934886,0.947135,-0.288357,class4,cluster2
93,-1.613067,-0.656389,0.912008,-0.346481,class5,cluster2
94,0.086301,-0.976836,0.87325,-0.879744,class6,cluster2
95,-3.193621,-0.288808,0.736748,-1.171471,class7,cluster4
96,-2.868689,-0.335799,0.736884,-1.243189,class8,cluster4
97,-2.375995,-0.420224,0.719884,-1.508205,class9,cluster4
98,-2.526276,-0.46616,0.89452,-0.280966,class10,cluster4
99,-3.663368,-0.254304,0.921203,0.170106,class0,cluster4
100,-0.233536,-0.960986,1.023232,0.206287,class1,cluster5
101,-0.224037,-0.985816,1.087647,0.728524,class2,cluster5
102,0.16138,-1.101189,1.153011,1.14345,class3,cluster5
103,-0.297678,-0.925121,0.939519,-0.334298,class4,cluster2
104,-1.13498,-0.754576,0.933726,-0.289077,class5,cluster2
105,-0.322551,-0.89367,0.864861,-0.872358,class6,cluster2
106,-3.094029,-0.302625,0.733429,-1.192458,class7,cluster4
107,-2.726656,-0.36254,0.740063,-1.267666,class8,cluster4
108,-2.673061,-0.371258,0.719523,-1.445966,class9,cluster4
109,-1.066525,-0.753324,0.900364,-0.524289,class10,cluster2
110,-3.286622,-0.343207,0.978168,0.543795,class0,cluster4
111,-0.157914,-0.984441,1.041469,0.321613,class1,cluster5
112,-0.192288,-0.994343,1.090476,0.739293,class2,cluster5
113,-0.014256,-1.066711,1.153261,1.182313,class3,cluster5
114,-0.203174,-0.954111,0.955779,-0.229553,class4,cluster2
115,-0.610893,-0.874775,0.967433,-0.145218,class5,cluster2
116,-0.379461,-0.88516,0.86646,-0.854068,class6,cluster2
117,-3.107501,-0.302863,0.745553,-1.107756,class7,cluster4
118,-2.748734,-0.36278,0.720677,-1.437725,class8,cluster4
119,-3.095285,-0.298542,0.732719,-1.235445,class9,cluster4
120,-0.972482,-0.764346,0.885958,-0.635076,class10,cluster2
121,-3.544707,-0.290084,0.973349,0.555407,class0,cluster4
122,-0.2935,-0.962397,1.039227,0.320138,class1,cluster5
123,-0.267669,-0.961046,1.047797,0.432338,class2,cluster5
124,-0.078598,-1.051303,1.150335,1.194858,class3,cluster5
125,-0.473119,-0.915815,0.961942,-0.110284,class4,cluster2
126,-0.202018,-0.956904,0.964198,-0.217424,class5,cluster2
127,-0.392731,-0.891962,0.86376,-0.860253,class6,cluster2
128,-3.085183,-0.308867,0.746913,-1.114086,class7,cluster4
129,-2.404063,-0.454935,0.759386,-1.221743,class8,cluster4
130,-3.445435,-0.224744,0.723351,-1.203984,class9,cluster4
131,-0.453101,-0.898712,0.94579,-0.267431,class10,cluster2
132,1.090106,-1.301692,1.266025,1.812201,class0,cluster5
133,0.977423,-1.250512,1.188192,1.226094,class1,cluster5
134,0.48667,-1.159434,1.198244,1.388436,class2,cluster5
135,-0.036422,-1.051473,1.15871,1.189226,class3,cluster5
136,0.160684,-1.043321,1.055092,0.443565,class4,cluster5
137,0.084083,-1.057158,1.128823,0.981295,class5,cluster5
138,0.162157,-1.029078,1.029857,0.290383,class6,cluster5
139,0.548511,-1.07066,0.902341,-0.618276,class7,cluster2
140,-0.427964,-0.905259,0.9534,-0.124325,class8,cluster2
141,-0.94664,-0.728127,0.717882,-1.780475,class9,cluster2
142,0.894115,-1.16418,0.993028,-0.126614,class10,cluster5
143,0.675809,-1.226107,1.286113,2.03541,class0,cluster5
144,0.993177,-1.255644,1.198586,1.299305,class1,cluster5
145,0.742435,-1.213539,1.208128,1.412496,class2,cluster5
146,0.243425,-1.104258,1.16297,1.164969,class3,cluster5
147,0.205944,-1.055982,1.074439,0.573335,class4,cluster5
148,-0.109781,-1.010034,1.104303,0.836052,class5,cluster5
149,0.127894,-1.031755,1.05179,0.450791,class6,cluster5
150,0.211886,-0.996335,0.868392,-0.818241,class7,cluster2
151,-0.566182,-0.895662,1.005325,0.272951,class8,cluster2
152,-0.914208,-0.737841,0.731852,-1.677994,class9,cluster2
153,1.347481,-1.25885,1.015394,-0.061514,class10,cluster5
154,0.616657,-1.21119,1.271242,1.918274,class0,cluster5
155,1.060631,-1.26956,1.201166,1.305041,class1,cluster5
156,0.84415,-1.245323,1.23426,1.571999,class2,cluster5
157,0.413417,-1.139766,1.17262,1.20015,class3,cluster5
158,0.304124,-1.081833,1.092033,0.671939,class4,cluster5
159,-0.124106,-1.011552,1.113935,0.904453,class5,cluster5
160,0.205357,-1.064631,1.107382,0.838066,class6,cluster5
161,-0.265739,-0.893247,0.829459,-1.025228,class7,cluster2
162,-0.055425,-0.979051,0.96952,-0.095064,class8,cluster2
163,-1.611707,-0.618474,0.76021,-1.342504,class9,cluster4
164,1.674283,-1.331632,1.027365,-0.05212,class10,cluster5
165,0.569152,-1.200259,1.262993,1.871666,class0,cluster5
166,1.04212,-1.264678,1.197794,1.28095,class1,cluster5
167,0.753807,-1.232208,1.238496,1.608681,class2,cluster5
168,0.251559,-1.111284,1.174604,1.230969,class3,cluster5
169,0.29507,-1.08892,1.119057,0.865432,class4,cluster5
170,0.042251,-1.053764,1.144069,1.08237,class5,cluster5
171,0.347141,-1.090663,1.102475,0.774034,class6,cluster5
172,-0.40242,-0.865453,0.824749,-1.032756,class7,cluster2
173,0.941938,-1.143868,0.898905,-0.822635,class8,cluster2
174,-1.80151,-0.589413,0.780846,-1.16675,class9,cluster4
175,1.792599,-1.341534,0.996372,-0.306485,class10,cluster5
176,0.723742,-1.222394,1.242967,1.702109,class0,cluster5
177,1.196441,-1.299348,1.205071,1.299133,class1,cluster5
178,0.791523,-1.232891,1.222202,1.475553,class2,cluster5
179,0.156363,-1.097227,1.184834,1.320413,class3,cluster5
180,0.443521,-1.118674,1.116973,0.814476,class4,cluster5
181,0.206309,-1.089203,1.152782,1.112041,class5,cluster5
182,0.211051,-1.056812,1.081202,0.653036,class6,cluster5
183,-0.318017,-0.873935,0.841649,-0.907639,class7,cluster2
184,0.793944,-1.107469,0.867028,-1.045397,class8,cluster2
185,-1.930025,-0.565378,0.784971,-1.103446,class9,cluster4
186,1.68596,-1.314351,0.983548,-0.376924,class10,cluster5
187,1.044829,-1.286202,1.245028,1.663418,class0,cluster5
188,1.281018,-1.317374,1.204562,1.279056,class1,cluster5
189,0.626946,-1.200582,1.225543,1.524447,class2,cluster5
190,0.178835,-1.10315,1.189062,1.348399,class3,cluster5
191,0.461319,-1.126471,1.124682,0.866134,class4,cluster5
192,-0.157473,-1.018473,1.143126,1.105948,class5,cluster5
193,0.099751,-1.037854,1.083995,0.692913,class6,cluster5
194,-0.328839,-0.882417,0.849133,-0.864125,class7,cluster2
195,1.118176,-1.171864,0.887709,-0.939269,class8,cluster2
196,-1.995314,-0.546137,0.76414,-1.219609,class9,cluster4
197,1.590678,-1.306912,1.011894,-0.135643,class10,cluster5
198,1.534598,-1.329833,1.045436,0.095256,class0,cluster5
199,1.150683,-1.237159,0.997394,-0.191476,class1,cluster5
200,0.10253,-1.108485,1.137994,1.056191,class2,cluster5
201,-0.320289,-0.985162,1.034245,0.334151,class3,cluster5
202,0.466756,-1.064839,0.886357,-0.815076,class4,cluster2
203,0.073786,-1.006271,0.917959,-0.543797,class5,cluster2
204,0.766385,-1.07452,0.812357,-1.437476,class6,cluster2
205,0.343203,-0.999758,0.889775,-0.762378,class7,cluster2
206,0.035835,-0.903601,0.745246,-1.732256,class8,cluster2
207,-0.495458,-0.81123,0.761205,-1.522107,class9,cluster2
208,0.411077,-1.044208,0.905019,-0.705902,class10,cluster2
209,1.618924,-1.349737,1.054677,0.149014,class0,cluster5
210,1.164311,-1.237888,0.995118,-0.227811,class1,cluster5
211,0.450367,-1.160349,1.109911,0.753555,class2,cluster5
212,0.135405,-1.082691,1.054171,0.401945,class3,cluster5
213,0.36852,-1.029861,0.864172,-0.96855,class4,cluster2
214,0.288832,-1.037013,0.891289,-0.804716,class5,cluster2
215,0.46632,-1.018796,0.831708,-1.243638,class6,cluster2
216,0.030737,-0.942215,0.898387,-0.640379,class7,cluster2
217,-0.376226,-0.833304,0.781539,-1.408162,class8,cluster2
218,-0.402789,-0.825855,0.747284,-1.637006,class9,cluster2
219,0.196379,-0.994885,0.885021,-0.817178,class10,cluster2
220,1.552834,-1.337355,1.059084,0.20311,class0,cluster5
221,1.056418,-1.216825,0.993101,-0.231963,class1,cluster5
222,0.555677,-1.179972,1.121692,0.828581,class2,cluster5
223,0.074163,-1.074862,1.061285,0.476699,class3,cluster5
224,0.058499,-0.965042,0.871401,-0.860108,class4,cluster2
225,0.590191,-1.088356,0.893363,-0.836459,class5,cluster2
226,0.152749,-0.981426,0.900955,-0.701978,class6,cluster2
227,0.006671,-0.938687,0.892578,-0.679515,class7,cluster2
228,-0.795723,-0.758305,0.806745,-1.154044,class8,cluster2
229,-0.380441,-0.826284,0.733977,-1.736957,class9,cluster2
230,-0.103459,-0.928694,0.866969,-0.894603,class10,cluster2
231,1.39866,-1.304647,1.056195,0.214038,class0,cluster5
232,1.091151,-1.221693,0.987356,-0.274425,class1,cluster5
233,0.43404,-1.152257,1.122887,0.875859,class2,cluster5
234,0.168616,-1.094286,1.061172,0.469495,class3,cluster5
235,-0.08009,-0.942573,0.889748,-0.701605,class4,cluster2
236,0.831337,-1.137966,0.89066,-0.90694,class5,cluster2
237,-0.112755,-0.949983,0.958509,-0.252667,class6,cluster2
238,0.337033,-1.004213,0.904026,-0.655477,class7,cluster2
239,-0.922773,-0.724718,0.781238,-1.315725,class8,cluster2
240,-0.280838,-0.840588,0.721672,-1.841072,class9,cluster2
241,-0.074705,-0.93207,0.860576,-0.943519,class10,cluster2
242,1.217964,-1.265175,1.044931,0.167408,class0,cluster5
243,1.132391,-1.227815,0.98486,-0.295091,class1,cluster5
244,0.311231,-1.12191,1.110781,0.811592,class2,cluster5
245,0.626286,-1.154557,1.014998,0.018537,class3,cluster5
246,-0.268028,-0.901565,0.876292,-0.751888,class4,cluster2
247,0.873074,-1.146297,0.901797,-0.840982,class5,cluster2
248,-0.375212,-0.909524,0.983889,-0.020026,class6,cluster2
249,0.369847,-1.006458,0.892674,-0.741964,class7,cluster2
250,-1.050461,-0.698457,0.779095,-1.30188,class8,cluster2
251,-0.334993,-0.821405,0.703409,-1.959226,class9,cluster2
252,-0.180817,-0.911762,0.85802,-0.942066,class10,cluster2
253,1.125846,-1.243662,1.036065,0.120544,class0,cluster5
254,1.182023,-1.235948,0.983443,-0.307511,class1,cluster5
255,0.495037,-1.155446,1.101042,0.714427,class2,cluster5
256,1.067614,-1.233626,1.031741,0.087135,class3,cluster5
257,-0.259156,-0.905945,0.881062,-0.705956,class4,cluster2
258,0.76448,-1.12278,0.911803,-0.746314,class5,cluster2
259,-0.18595,-0.938759,0.952851,-0.267404,class6,cluster2
260,0.233891,-0.979773,0.890729,-0.726852,class7,cluster2
261,-1.095314,-0.689543,0.776629,-1.306677,class8,cluster2
262,-0.188696,-0.849412,0.693736,-2.052923,class9,cluster2
263,-0.187879,-0.911862,0.854817,-0.965549,class10,cluster2
264,-0.665435,1.160267,1.072673,1.220662,class0,cluster7
265,-0.036724,0.992854,1.148832,1.691881,class1,cluster7
266,0.357764,0.912319,1.144241,1.618047,class2,cluster7
267,-0.233655,1.033434,1.105195,1.4402,class3,cluster7
268,-0.712338,1.216847,0.836978,-0.353312,class4,cluster3
269,-1.674407,1.357488,0.947956,0.654385,class5,cluster7
270,1.001082,0.931191,0.753651,-1.251842,class6,cluster3
271,0.652965,0.995167,0.73457,-1.234292,class7,cluster3
272,0.019391,1.094235,0.775909,-0.939495,class8,cluster3
273,0.012811,1.04878,0.919636,0.100383,class9,cluster7
274,-0.036636,1.063878,0.920544,0.150851,class10,cluster7
275,-0.674676,1.171714,1.045908,1.021667,class0,cluster7
276,-0.198604,1.046192,1.094554,1.308422,class1,cluster7
277,0.106427,0.960116,1.141884,1.637186,class2,cluster7
278,-0.085956,1.004979,1.104753,1.410204,class3,cluster7
279,-0.532413,1.182276,0.838397,-0.382743,class4,cluster3
280,-1.015474,1.228815,0.946657,0.497555,class5,cluster7
281,1.016589,0.929596,0.747878,-1.299484,class6,cluster3
282,0.21056,1.097749,0.691994,-1.498541,class7,cluster3
283,-0.092994,1.098302,0.815642,-0.604828,class8,cluster3
284,0.026326,1.044558,0.904854,-0.009763,class9,cluster7
285,-0.107904,1.073405,0.93582,0.288395,class10,cluster7
286,-0.487027,1.144771,1.021616,0.81004,class0,cluster7
287,-0.15683,1.043015,1.078323,1.163473,class1,cluster7
288,-0.068993,0.988852,1.152466,1.753454,class2,cluster7
289,-0.154074,1.025243,1.088696,1.312692,class3,cluster7
290,-0.627207,1.199611,0.836611,-0.39724,class4,cluster3
291,-0.886642,1.198571,0.975709,0.683024,class5,cluster7
292,0.543512,1.024157,0.744547,-1.244774,class6,cluster3
293,0.025375,1.144185,0.650722,-1.775093,class7,cluster3
294,0.078364,1.078582,0.783146,-0.871236,class8,cluster3
295,0.253505,1.02282,0.855798,-0.394916,class9,cluster3
296,-0.225974,1.096437,0.934244,0.303401,class10,cluster7
297,-0.535648,1.163678,0.998956,0.660347,class0,cluster7
298,-0.138844,1.0407,1.073573,1.122713,class1,cluster7
299,0.325918,0.922047,1.135873,1.582588,class2,cluster7
300,-0.399103,1.060836,1.104976,1.462029,class3,cluster7
301,-0.889891,1.260182,0.836477,-0.334298,class4,cluster3
302,-0.884671,1.194568,0.999212,0.866082,class5,cluster7
303,0.080888,1.115835,0.742339,-1.138559,class6,cluster3
304,0.043243,1.139677,0.650181,-1.776041,class7,cluster3
305,0.042365,1.089453,0.775374,-0.930959,class8,cluster3
306,0.268358,1.032281,0.824694,-0.630627,class9,cluster3
307,-0.437864,1.126004,0.95913,0.528163,class10,cluster7
308,-0.870935,1.240984,0.9697,0.51695,class0,cluster7
309,-0.289218,1.073559,1.067551,1.15272,class1,cluster7
310,0.404938,0.943076,1.028684,0.813292,class2,cluster7
311,-0.339732,1.041016,1.118893,1.554313,class3,cluster7
