@relation vowel-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,-0.192258,-8.253222,0,-1.349268,1.409889,-4.117085,-1.408157,-2.424871,2.909845,3.311681,hid,cluster5
1,-0.024249,-7.181083,0,-0.632199,0.845241,-4.058195,-2.502813,-2.163331,2.563435,3.309949,hId,cluster5
2,0.377587,-6.254435,0,1.477439,0.08487,-1.267861,-2.615397,-2.857884,3.95254,1.614271,hEd,cluster5
3,2.726248,-3.580149,0,-0.020785,1.37698,-2.821511,-0.458993,-6.33411,4.272969,2.805922,hAd,cluster5
4,3.616522,-2.12869,0,-0.107387,0.685892,-5.662074,-0.637395,-6.871046,2.194508,2.268987,hYd,cluster9
5,3.74123,-2.520134,0,0.303109,0.632199,-5.727892,-0.848705,-6.69784,2.527062,2.539186,had,cluster5
6,3.592273,-1.7563,0,-0.083138,0.633931,-7.241704,-0.928379,-8.461068,3.160993,1.416818,hOd,cluster9
7,2.274183,-1.622932,0,-1.335411,0.521347,-7.068499,-0.505759,-7.657397,3.74989,-0.169741,hod,cluster9
8,2.057676,-4.936345,0,0.5404,0.75171,-5.509654,-2.156403,-5.585864,4.841082,2.05248,hUd,cluster5
9,1.922576,-5.462888,0,-1.001125,1.447994,-5.615309,-1.28345,-4.473887,3.841689,2.963539,hud,cluster5
10,1.835974,-4.246989,0,0.455529,1.425478,-4.224472,-0.975145,-5.882045,4.039142,2.650038,hed,cluster5
11,-0.284056,-8.100802,0,-1.221096,1.408157,-4.335323,-1.648912,-2.438728,2.637913,3.535116,hid,cluster4
12,-0.545596,-7.681645,0,-0.628734,0.566381,-3.581881,-2.750497,-1.7563,2.779942,2.582488,hId,cluster5
13,0.417424,-6.436301,0,1.522473,0.046765,-1.046159,-2.724516,-2.918506,4.304146,1.583094,hEd,cluster5
14,3.093443,-3.303021,0,0.032909,1.316359,-3.687536,-0.079674,-6.070838,3.393088,2.715856,hAd,cluster5
15,3.794923,-1.924308,0,0.116047,1.096388,-5.260238,-0.677232,-7.524029,2.852688,2.951415,hYd,cluster9
16,3.914435,-2.260326,0,0.344678,0.793279,-5.762533,-0.833116,-7.15337,2.60154,2.864812,had,cluster9
17,3.497011,-1.99359,0,-0.280592,0.448601,-7.510172,-0.627002,-7.943185,2.805922,0.909327,hOd,cluster9
18,2.087121,-1.690482,0,-1.337143,0.507491,-7.130853,-0.474582,-7.705894,3.609594,-0.320429,hod,cluster9
19,2.504545,-4.532777,0,0.682428,1.004589,-6.999217,-1.600415,-5.549491,2.972199,2.695071,hUd,cluster5
20,1.846366,-5.772925,0,-1.075604,1.269593,-5.462888,-1.453191,-4.330127,4.035678,2.701999,hud,cluster5
21,1.293842,-4.389017,0,0.367195,1.458387,-4.007966,-0.793279,-5.888973,3.950808,2.147743,hed,cluster5
22,-0.403568,-8.045376,0,-1.370052,1.456655,-4.555294,-1.463583,-2.376374,2.376374,3.389623,hid,cluster4
23,-0.545596,-7.309254,0,-0.358535,0.736122,-4.257381,-2.591148,-1.958949,1.931237,2.811118,hId,cluster5
24,0.562917,-6.287344,0,1.331947,0.26154,-1.040963,-2.430067,-3.020697,4.397677,1.723391,hEd,cluster5
25,2.663894,-3.53858,0,-0.032909,1.467047,-3.216418,-0.162813,-6.205938,3.812244,2.73664,hAd,cluster5
26,3.514331,-2.559971,0,0.154153,1.186455,-4.681733,-0.710141,-7.342163,3.600934,2.878668,hYd,cluster9
27,4.352644,-2.388498,0,0.550792,0.696284,-6.134924,-0.720533,-7.084088,2.556507,2.774745,had,cluster9
28,3.410408,-2.487225,0,-0.020785,0.005196,-8.041912,-0.197454,-6.834672,2.151207,-0.27886,hOd,cluster9
29,2.289771,-1.719926,0,-1.096388,0.424352,-7.28847,-0.573309,-7.939721,3.642503,-0.315233,hod,cluster9
30,1.551918,-5.036804,0,0.611414,0.621806,-6.103747,-2.319216,-5.095693,3.47103,1.969342,hUd,cluster5
31,1.948557,-5.994628,0,-1.016714,0.904131,-5.291415,-1.939897,-3.992377,4.359572,2.523598,hud,cluster5
32,1.162206,-4.461763,0,0.400104,1.259201,-3.545508,-1.14835,-5.719232,4.224472,2.010911,hed,cluster5
33,-0.443405,-7.974362,0,-1.312895,1.460119,-4.804709,-1.441066,-2.324412,2.000519,3.389623,hid,cluster4
34,-0.770763,-7.17069,0,-0.105655,0.517883,-4.319735,-2.928898,-1.740711,1.591755,2.585952,hId,cluster5
35,0.545596,-6.365287,0,1.020178,0.297913,-1.10678,-2.230881,-3.013768,4.316271,1.55365,hEd,cluster5
36,2.856152,-3.689268,0,0.022517,1.409889,-2.892525,-0.398372,-6.1228,4.267773,2.878668,hAd,cluster5
37,3.282236,-3.129816,0,0.133368,1.124101,-4.226204,-0.902398,-6.708233,4.072051,2.852688,hYd,cluster5
38,4.648824,-2.852688,0,0.737854,0.2702,-6.339306,-0.6755,-6.441497,2.748765,1.998787,had,cluster9
39,3.126352,-2.485493,0,-0.091799,0.204382,-7.877367,-0.400104,-6.943792,1.969342,0.252879,hOd,cluster5
40,3.514331,-1.499956,0,-0.96302,-0.216506,-8.78323,-0.1351,-6.528099,2.223953,-0.73439,hod,cluster9
41,0.848705,-5.104354,0,0.521347,0.672036,-6.003288,-2.156403,-4.685197,2.992984,1.619468,hUd,cluster5
42,2.326144,-5.698447,0,-1.044427,1.236684,-6.353162,-1.229756,-4.113621,3.122888,2.93929,hud,cluster5
43,1.120637,-4.506796,0,0.564649,0.937039,-3.107299,-1.572702,-5.468084,4.413265,1.70607,hed,cluster5
44,-0.351606,-7.927597,0,-1.22456,1.603879,-5.133799,-1.274789,-2.409283,1.591755,3.628646,hid,cluster4
45,-0.73439,-7.30579,0,0.103923,0.342946,-4.271237,-3.08305,-1.681821,1.674893,2.364249,hId,cluster5
46,0.244219,-6.860653,0,0.9457,0.204382,-1.30943,-2.312288,-2.674286,4.158654,1.402961,hEd,cluster5
47,2.658698,-4.15519,0,-0.112583,1.314627,-2.492421,-0.498831,-6.006752,4.690394,2.585952,hAd,cluster5
48,3.4208,-3.711785,0,0.174937,0.933575,-4.631504,-0.990733,-5.850868,3.74989,2.93929,hYd,cluster5
49,4.83069,-3.122888,0,0.930111,0.06755,-6.247507,-0.872954,-6.143584,3.154065,1.787476,had,cluster5
50,2.920238,-2.589416,0,0.109119,0.365463,-7.601971,-0.673768,-7.167226,2.002251,0.711873,hOd,cluster5
51,2.818047,-1.915648,0,-0.573309,0.523079,-8.25149,-0.49017,-8.37793,3.275308,0.116047,hod,cluster9
52,0.403568,-5.526974,0,0.521347,0.308305,-5.79371,-2.426603,-4.049535,2.752229,1.037498,hUd,cluster5
53,2.113102,-5.876848,0,-1.058283,1.591755,-6.470942,-0.820992,-4.491208,2.982591,3.044945,hud,cluster5
54,0.959556,-4.217544,0,0.595825,0.957824,-3.283968,-1.279986,-5.556419,3.914435,1.453191,hed,cluster5
55,-0.438209,-8.190868,0,-1.361392,1.737247,-5.16844,-1.10678,-2.409283,1.480903,3.736034,hid,cluster4
56,-0.375855,-7.551742,0,0.154153,0.323894,-4.170778,-3.164457,-1.844634,2.17026,2.587684,hId,cluster5
57,0.053694,-6.902222,0,0.943968,0.138564,-1.382177,-2.443924,-2.456048,4.077248,1.302502,hEd,cluster5
