@relation vowel_insig_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,0.072053,-0.249442,-0.233805,0.419336,0.028837,0.318845,0.25363,-0.236913,-1.443776,-0.799083,0.396177,-1.350789,class0,cluster9
1,0.073543,-0.109309,-0.025012,0.450222,-0.192371,-0.163311,0.298588,-0.268401,-1.187421,-0.635492,0.077231,-1.268354,class1,cluster9
2,0.086295,-0.568594,-0.02291,0.270577,-0.662522,-0.238951,0.59057,-0.624697,0.083006,-0.349075,-1.312715,-0.816807,class2,cluster9
3,0.036833,-0.358052,0.073816,0.655688,-0.191088,0.510461,-0.364044,-1.000818,-0.294082,0.221501,-0.886394,-0.065785,class3,cluster9
4,0.049499,-0.021085,-0.261981,0.534295,0.688702,-0.209872,-0.635854,-0.873572,-0.037529,0.605594,-0.331274,0.365089,class4,cluster6
5,0.035062,-0.22169,-0.209229,0.607447,0.508924,-0.394005,-0.612634,-0.752047,-0.076935,0.45238,-0.186399,0.445049,class5,cluster6
6,0.061304,-0.034677,-0.143557,0.41131,0.702756,-0.327937,-0.131698,-0.662441,-0.663765,0.786362,0.188252,1.250683,class6,cluster6
7,0.083758,-0.06677,0.070152,0.236137,0.370522,0.262236,0.187707,-0.46533,-1.076074,1.233765,1.19091,0.974802,class7,cluster6
8,0.101837,-0.215436,0.217104,0.201436,-0.575085,-0.146941,0.323582,-0.447779,-1.246965,-0.389351,-0.033873,0.647315,class8,cluster9
9,0.132534,0.160471,0.288789,0.043751,-0.547811,0.554572,-0.370817,-0.764997,-1.559835,-0.624238,-0.019535,-0.09108,class9,cluster6
10,0.067222,-0.364937,0.269387,0.428957,-0.372636,0.210615,-0.066839,-0.441782,-0.825082,-0.029203,-0.549186,0.152367,class10,cluster9
11,0.066525,-0.226585,-0.162358,0.462017,0.04467,0.16678,0.26881,-0.161522,-1.495848,-0.762113,0.367582,-1.35562,class0,cluster9
12,0.096341,-0.123498,-0.061223,0.262944,-0.266084,-0.098558,0.555311,-0.364377,-1.138895,-0.644803,-0.05242,-1.352491,class1,cluster9
