@relation vowel_pca_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
0,7.087963,-1.350789,0.396177,-0.799083,class0,cluster2
1,7.098286,-1.268354,0.077231,-0.635492,class1,cluster2
2,7.10138,-0.816807,-1.312715,-0.349075,class2,cluster2
3,7.086981,-0.065785,-0.886394,0.221501,class3,cluster2
4,7.083902,0.365089,-0.331274,0.605594,class4,cluster7
5,7.06525,0.445049,-0.186399,0.45238,class5,cluster7
6,7.063993,1.250683,0.188252,0.786362,class6,cluster7
7,7.090363,0.974802,1.19091,1.233765,class7,cluster7
8,7.014409,0.647315,-0.033873,-0.389351,class8,cluster2
9,7.023564,-0.09108,-0.019535,-0.624238,class9,cluster2
10,7.077523,0.152367,-0.549186,-0.029203,class10,cluster2
11,7.097379,-1.35562,0.367582,-0.762113,class0,cluster2
12,7.10426,-1.352491,-0.05242,-0.644803,class1,cluster2
13,7.094172,-0.772367,-1.350276,-0.407779,class2,cluster2
14,7.07643,-0.035937,-0.807782,0.204123,class3,cluster2
15,7.081813,0.514646,-0.616713,0.527335,class4,cluster7
16,7.06797,0.535376,-0.26376,0.4801,class5,cluster7
17,7.060616,1.139219,0.455778,0.826159,class6,cluster7
18,7.100568,0.962713,1.190237,1.311238,class7,cluster7
19,7.027623,0.60317,-0.209704,-0.321207,class8,cluster2
20,7.018673,-0.10619,0.008535,-0.661398,class9,cluster2
21,7.097797,0.083946,-0.628939,0.082006,class10,cluster2
22,7.104502,-1.390993,0.401417,-0.693616,class0,cluster2
23,7.120191,-1.292784,-0.262287,-0.561755,class1,cluster2
24,7.088365,-0.766866,-1.369879,-0.45313,class2,cluster2
25,7.090211,-0.090575,-0.858831,0.23415,class3,cluster2
26,7.072033,0.484462,-0.632006,0.36473,class4,cluster2
27,7.039567,0.689912,-0.288557,0.288955,class5,cluster7
28,7.032385,1.116709,0.587653,0.631265,class6,cluster7
29,7.093505,1.102099,1.132162,1.287622,class7,cluster7
30,7.052093,0.417167,-0.253191,-0.212359,class8,cluster2
31,7.004317,-0.102272,0.104947,-0.726117,class9,cluster2
32,7.099918,0.023089,-0.669122,0.085041,class10,cluster2
33,7.110524,-1.402697,0.322721,-0.668577,class0,cluster2
34,7.133842,-1.312683,-0.418143,-0.463396,class1,cluster2
35,7.088579,-0.807125,-1.35414,-0.447961,class2,cluster2
36,7.07427,-0.065522,-0.937068,0.089896,class3,cluster2
37,7.058359,0.343483,-0.542187,0.166726,class4,cluster2
38,6.996004,0.812804,-0.160189,0.026599,class5,cluster7
39,7.058408,0.967073,0.458177,0.722329,class6,cluster7
40,7.030537,1.092857,1.529435,1.005797,class7,cluster7
41,7.080458,0.197268,-0.27282,-0.084064,class8,cluster2
42,7.009374,-0.10432,-0.011447,-0.704842,class9,cluster2
43,7.098039,0.001471,-0.839819,0.070789,class10,cluster2
44,7.112757,-1.391591,0.216687,-0.700699,class0,cluster2
45,7.12798,-1.247477,-0.501291,-0.49231,class1,cluster2
46,7.091528,-0.895545,-1.190817,-0.466763,class2,cluster2
47,7.070451,-0.104718,-0.946837,0.028385,class3,cluster2
48,7.033927,0.221102,-0.339786,-0.081533,class4,cluster2
49,6.969197,0.90424,-0.154441,-0.168059,class5,cluster2
50,7.076078,0.927228,0.186697,0.737111,class6,cluster7
51,7.071408,1.402437,1.05817,1.10048,class7,cluster7
52,7.091099,0.021359,-0.295077,-0.039673,class8,cluster2
53,7.021606,-0.07692,-0.164097,-0.695957,class9,cluster2
54,7.11768,-0.026934,-0.865853,0.268178,class10,cluster2
55,7.115822,-1.456732,0.199565,-0.741445,class0,cluster2
56,7.106304,-1.145619,-0.414749,-0.632508,class1,cluster2
57,7.093765,-0.934477,-1.129297,-0.473105,class2,cluster2
58,7.074111,-0.204825,-0.773871,0.043784,class3,cluster2
59,7.019563,0.157904,-0.211373,-0.304996,class4,cluster2
60,6.989072,0.89309,-0.24404,-0.024777,class5,cluster7
61,7.058433,1.015656,-0.048066,0.498127,class6,cluster7
62,7.068196,1.486149,0.97097,1.031271,class7,cluster7
63,7.085569,-0.203752,-0.27904,-0.243187,class8,cluster2
64,7.016121,0.020772,-0.101786,-0.786476,class9,cluster2
65,7.12009,-0.061725,-0.785014,0.255606,class10,cluster2
