@relation 'AT: waveform-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.305x7-0.302x15+0.297x8-0.293x14+0.283x6... numeric
@attribute 0.466x11+0.393x10+0.384x12-0.24x17+0.236x9... numeric
@attribute 0.402x28+0.368x29+0.309x32+0.308x35-0.28x38... numeric
@attribute -0.462x25-0.408x33-0.35x27+0.277x32+0.263x23... numeric
@attribute '-0.418x30-0.366x40+0.337x26+0.29 x21+0.286x36...' numeric
@attribute 0.452x26+0.331x36+0.323x38+0.321x34-0.289x37... numeric
@attribute -0.457x1+0.383x28+0.332x31-0.283x38-0.269x29... numeric
@attribute 0.405x39-0.322x27-0.288x32+0.274x22+0.268x21... numeric
@attribute -0.494x34-0.375x35+0.344x28+0.291x22+0.281x23... numeric
@attribute -0.511x36+0.395x38+0.248x25-0.228x1-0.228x24... numeric
@attribute '0.478x1-0.39x24+0.315x22+0.3  x40+0.287x37...' numeric
@attribute 0.494x39-0.315x29-0.304x34-0.276x21+0.263x24... numeric
@attribute '0.401x31+0.397x24+0.384x1+0.381x32+0.34 x21...' numeric
@attribute 0.473x23-0.449x21+0.336x33-0.316x40+0.242x35... numeric
@attribute '0.526x27+0.38 x29-0.33x28-0.321x30+0.261x22...' numeric
@attribute 0.505x37-0.386x33+0.302x39+0.273x29-0.252x27... numeric
@attribute '0.487x26-0.384x22+0.335x40-0.293x35+0.25 x33...' numeric
@attribute -0.476x35-0.383x40-0.356x24+0.328x27-0.233x26... numeric
@attribute '0.409x32+0.382x25+0.37 x40-0.322x37-0.314x26...' numeric
@attribute -0.397x31-0.353x29+0.298x34+0.283x26+0.273x27... numeric
@attribute -0.432x31-0.423x23+0.407x32+0.287x22+0.278x30... numeric
@attribute 0.387x21+0.347x30+0.345x20+0.334x28+0.306x29... numeric
@attribute '0.433x38+0.431x2-0.353x25+0.3  x28+0.242x33...' numeric
@attribute 0.814x2-0.302x33+0.182x30-0.17x40-0.158x38... numeric
@attribute -0.777x20+0.312x36+0.309x28-0.204x34-0.173x25... numeric
@attribute 0.686x3+0.644x19-0.163x4+0.123x11+0.117x12... numeric
@attribute 0.689x19-0.647x3-0.157x18+0.104x4-0.096x16... numeric
@attribute 0.795x18-0.405x4+0.258x10-0.164x13+0.125x9... numeric
@attribute 0.825x4+0.392x18+0.233x12+0.199x10-0.119x5... numeric
@attribute 0.713x10-0.606x12-0.217x9-0.156x5-0.103x18... numeric
@attribute '0.608x12-0.474x11-0.375x9+0.36 x10-0.26x13...' numeric
@attribute -0.7x13+0.435x17+0.322x9-0.266x5+0.247x11... numeric
@attribute -0.619x11-0.534x5+0.462x9-0.201x6-0.2x16... numeric
@attribute 0.652x14+0.482x5+0.393x9-0.249x11+0.178x10... numeric
@attribute class {0,1,2}

@data
-3.318896,-1.90448,-0.425787,1.582338,0.257374,1.366152,-0.039066,0.395676,-0.214984,-0.201435,-0.38119,-0.04848,-0.696926,-0.526707,0.644708,-0.748915,0.003213,-0.951734,0.065847,1.078897,-0.726247,-0.011699,-1.018978,-0.771367,-1.408284,-0.283347,-1.060223,0.250516,0.756909,-0.383902,-0.796886,-0.638714,1.04161,0.496664,2
-1.891609,-0.925734,-0.601484,-0.159019,-0.601653,0.350717,-0.385676,-2.064133,-0.98603,-0.734712,-1.692407,-0.766422,1.327351,0.391836,-1.260081,0.015641,1.132787,0.548509,-0.029931,0.10222,0.820201,-0.243904,0.754967,-0.140023,1.758663,0.220734,0.757286,0.925966,-0.169747,-1.008215,0.148519,-0.162217,0.302923,1.13575,0
3.383783,-0.379108,0.218824,-0.904045,-1.10621,1.891183,1.00347,-0.53589,0.739671,-0.766907,0.144031,0.240232,-0.010832,0.586941,0.452336,-1.049865,-0.255393,-1.514282,-0.609176,-1.769693,0.322022,-1.655127,1.567923,-0.236935,0.972666,0.268754,0.274631,0.808607,-0.185817,0.061528,0.134077,-1.13338,1.890693,-0.030579,1
-3.98351,-1.287314,0.376824,-0.300973,-0.183672,1.377998,-1.300303,-0.591306,2.100815,1.293952,1.057465,-2.213719,0.359297,0.316727,1.34931,1.3799,-0.057753,-0.785664,-0.61011,-0.863839,-1.410491,0.053213,0.758848,0.214316,0.214738,-0.059495,0.152736,-1.595028,0.252096,-0.437623,0.93881,-0.170195,-0.069378,0.629936,0
2.514905,0.356596,-1.152801,-1.125899,1.054481,0.850207,1.222063,0.270628,0.226703,-1.772008,-0.30305,0.24492,-0.696783,-0.186531,0.317663,-0.258392,0.997502,0.655844,1.773737,0.02458,1.327457,-0.250138,0.962112,0.829771,-2.31604,-2.315406,-0.264156,0.327674,-0.449484,0.409182,-0.587395,0.41886,-0.452851,0.965375,1
0.751237,2.012919,1.704177,1.104536,-0.519151,-2.114968,-0.475061,-0.909292,0.320314,-0.177674,0.471414,-0.51437,-0.080269,0.021542,0.962618,0.24338,1.2321,0.527037,-1.500127,-2.080957,-0.046995,0.279315,-0.251729,0.476495,-0.08269,-1.40981,-0.294773,0.086834,0.129787,-0.63727,0.077032,-0.512795,-0.008543,0.480799,1
4.203752,-1.455808,0.345669,-0.681337,-1.047977,-0.561541,1.052274,-0.129932,1.077613,-1.426296,-0.50253,0.612888,0.852215,-0.776358,-0.728026,0.729265,-1.732854,0.5203,0.6382,-0.539654,0.247061,0.398207,0.434696,-0.720552,-0.432895,0.51245,-0.041624,0.293963,-0.1685,0.257268,0.645626,0.651246,-0.735785,0.445789,0
-1.39406,3.784165,-1.476309,-0.482076,-0.164875,-1.588213,0.328285,1.700394,-0.348549,0.664535,0.789234,-0.721319,0.885477,0.249324,0.520533,1.825838,0.361851,-0.933322,1.257257,0.899101,0.392536,0.938915,-1.18595,0.177825,-0.987561,0.934914,0.203786,-0.025492,0.334566,0.384409,0.183641,-0.196738,0.086956,-0.734189,2
5.35489,-1.859371,-1.248959,-1.148059,0.066595,0.384769,-0.263724,0.662599,-0.302634,0.145398,0.341518,-1.976674,-1.110675,-0.575063,1.363429,1.290374,-0.24731,-1.238471,-0.392967,1.202791,-0.218626,-0.205301,0.851666,1.36834,-0.234029,0.689478,-0.531881,0.54494,0.537047,1.286469,-0.457498,-0.79782,-0.16167,-0.231455,0
-4.157836,0.817666,-1.878546,-0.214124,-1.005596,-1.046686,0.968584,-0.130022,-0.089779,0.497756,-0.159423,0.734565,0.455754,0.681038,-0.793144,-1.055077,0.480274,0.403573,0.183653,-1.588833,-0.227323,1.206781,0.680313,0.505697,-0.052054,0.394562,0.481652,1.386538,-0.446163,-0.038765,0.797349,0.825561,0.787936,-0.456263,2
