@relation waveform-5000_insig_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute attr_13 numeric
@attribute attr_14 numeric
@attribute attr_15 numeric
@attribute attr_16 numeric
@attribute attr_17 numeric
@attribute attr_18 numeric
@attribute attr_19 numeric
@attribute attr_20 numeric
@attribute attr_21 numeric
@attribute attr_22 numeric
@attribute attr_23 numeric
@attribute attr_24 numeric
@attribute attr_25 numeric
@attribute attr_26 numeric
@attribute attr_27 numeric
@attribute attr_28 numeric
@attribute attr_29 numeric
@attribute attr_30 numeric
@attribute attr_31 numeric
@attribute attr_32 numeric
@attribute attr_33 numeric
@attribute attr_34 numeric
@attribute attr_35 numeric
@attribute attr_36 numeric
@attribute attr_37 numeric
@attribute attr_38 numeric
@attribute attr_39 numeric
@attribute Classes {class0,class1,class2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,-0.390472,-1.862167,-1.465392,-1.020845,-0.128187,-0.909582,0.218482,-1.460174,-1.078401,-1.321371,0.115587,-0.701281,0.661619,0.366533,-0.126453,-0.790075,0.15021,-0.780976,0.204764,0.634863,-0.026585,-0.992813,-0.146344,-0.06593,-0.351759,-0.75899,1.264687,-0.99584,-0.099112,-1.63766,1.822889,-0.622944,-1.032228,-0.553311,-1.213837,-0.232315,-0.678421,-0.286556,2.748043,class2,cluster2
1,0.280274,0.761325,0.223596,-0.676869,0.587864,0.647934,1.263109,1.21057,0.217699,-0.013847,0.017688,1.084577,-1.559116,-1.47467,-0.832583,-0.967289,2.180889,0.161643,0.369821,-0.64544,1.45005,-2.38622,0.325501,-0.421428,-1.089688,-0.252168,0.768322,0.963253,0.067276,-0.432637,-0.951719,0.752491,-0.433596,0.571181,-0.945884,0.764401,0.066377,-1.082087,1.533991,class0,cluster2
2,-0.010044,2.121941,-1.281958,-0.524233,-0.94549,0.651629,-0.480405,2.27915,-0.66373,-0.799204,1.32442,-0.666081,1.035728,-0.375181,0.693019,0.261456,1.211613,0.312445,-0.604955,-0.87358,-0.384298,-0.981947,-0.344661,0.692696,-0.933068,1.187899,1.546679,-1.034307,1.384368,-1.415223,-0.288797,-2.036944,1.207723,0.859011,1.424019,1.598763,-0.184863,0.323205,0.441366,class1,cluster2
3,0.035515,-0.028644,-0.372916,1.207529,-0.503444,-0.686515,-2.007903,0.730401,-1.487566,1.061335,-0.455135,0.51213,0.025272,-1.346725,-1.042943,1.375825,-2.179683,-0.768649,-1.037021,0.607921,1.863505,-0.692684,-1.248289,0.618083,-0.620739,0.838098,1.288386,0.192287,-0.587532,-0.219429,-1.474529,-0.522102,0.434304,1.233632,1.754415,-1.041491,-0.384674,-0.202588,2.223598,class0,cluster1
4,-1.004384,1.044609,-0.068817,1.165193,-0.550319,-1.406997,1.745703,0.14167,1.192799,-0.425177,0.076521,-2.59153,0.905587,0.295769,0.982794,0.484887,-0.005169,0.7533,-0.679416,-0.945024,0.925945,0.147066,0.182027,-0.65373,-0.000244,-0.547596,-0.929096,-2.357546,1.083563,0.632822,-1.289511,-0.969971,-0.656272,-1.466559,-3.023302,-1.200908,2.309497,0.796029,-0.375304,class1,cluster1
5,0.232996,0.702109,0.640296,0.753133,1.472966,-0.291008,-0.39212,0.780698,-0.640359,0.207471,1.984151,-0.67619,0.72753,1.0251,-0.035089,-0.44171,-0.949349,0.821701,-2.0786,-1.000177,0.877098,-0.245277,-0.750926,-1.058262,0.132954,1.105454,0.271615,-0.061631,-1.163968,0.710643,0.174793,0.935267,-1.490049,0.512053,-0.117181,1.165513,-1.14657,-0.565529,-2.871922,class1,cluster0
6,1.430579,0.531136,-0.165109,0.414813,-0.143891,-0.967709,-1.433819,0.770591,0.702906,0.341954,-0.383255,-0.224973,0.216173,0.303331,-0.182235,-0.456253,0.68469,-0.936085,1.012701,-0.389522,-0.821974,-0.379717,0.741164,-0.075201,0.929044,1.440324,-1.482116,0.822612,-0.269775,0.795919,-2.184276,-0.674342,0.204746,-1.607788,-0.100684,-0.95098,-0.215704,-0.531165,2.419478,class0,cluster1
7,-1.349487,-0.76593,0.589302,-0.936674,0.405379,-0.550457,0.553344,-0.51184,-0.106002,-0.193455,-1.490659,0.246043,-0.80431,-1.775963,-2.09474,0.589455,-0.760487,0.03398,-0.905933,1.109422,-1.246979,0.583693,-0.106423,0.216036,1.636907,-0.062649,-1.381861,1.399553,0.562308,-0.032889,1.495368,0.435469,0.954684,-0.24616,-0.188482,0.796949,1.215949,0.99059,-6.267641,class2,cluster0
8,-0.276405,0.288511,-0.249524,-1.260549,-0.196825,-0.265864,0.726729,-0.191817,-0.079384,0.970865,-0.130315,0.626829,1.582261,-1.430364,-1.052353,1.741466,-1.087858,-1.511119,-1.166951,0.197208,0.037748,0.118096,1.318036,-0.27201,1.123467,-1.053056,1.144683,0.154952,0.758789,-0.678228,0.601466,-0.597602,1.050919,-0.496002,0.675753,-0.70033,1.87684,1.747055,2.60864,class0,cluster2
9,-0.46992,1.188565,0.357176,0.822923,-0.222739,0.395729,-0.021711,0.238767,-0.017747,0.664305,0.236231,0.07438,-0.464467,-0.896501,-0.893025,-0.792042,1.261702,2.093558,-0.177111,-1.75035,-1.611557,-0.161965,-0.624835,0.609196,-0.403051,-0.109307,-0.728903,1.273384,1.501702,-0.653419,0.412922,1.117775,1.287739,-1.628859,-0.247733,1.498568,1.746908,-0.581004,-1.374824,class2,cluster0
