@relation 'vowel_rp_1'

@attribute attr_1 numeric

@attribute Classes {class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10}

@data
0.0, class0
0.0, class1
0.0, class2
0.0, class3
0.0, class4
0.0, class5
0.0, class6
0.0, class7
0.0, class8
0.0, class9
0.0, class10
0.0, class0
0.0, class1
0.0, class2
0.0, class3
0.0, class4
0.0, class5
0.0, class6
0.0, class7
0.0, class8
0.0, class9
0.0, class10
0.0, class0
0.0, class1
0.0, class2
0.0, class3
0.0, class4
0.0, class5
0.0, class6
0.0, class7
0.0, class8
0.0, class9
0.0, class10
0.0, class0
0.0, class1
0.0, class2
0.0, class3
0.0, class4
0.0, class5
0.0, class6
0.0, class7
0.0, class8
0.0, class9
0.0, class10
0.0, class0
0.0, class1
0.0, class2
0.0, class3
0.0, class4
0.0, class5
0.0, class6
0.0, class7
0.0, class8
0.0, class9
0.0, class10
0.0, class0
0.0, class1
0.0, class2
0.0, class3
0.0, class4
0.0, class5
0.0, class6
0.0, class7
0.0, class8
0.0, class9
0.0, class10
0.9376764076000476, class0
0.9376764076000476, class1
0.9376764076000476, class2
0.9376764076000476, class3
0.9376764076000476, class4
0.9376764076000476, class5
0.9376764076000476, class6
0.9376764076000476, class7
0.9376764076000476, class8
0.9376764076000476, class9
0.9376764076000476, class10
0.9376764076000476, class0
0.9376764076000476, class1
0.9376764076000476, class2
0.9376764076000476, class3
0.9376764076000476, class4
0.9376764076000476, class5
0.9376764076000476, class6
0.9376764076000476, class7
0.9376764076000476, class8
0.9376764076000476, class9
0.9376764076000476, class10
0.9376764076000476, class0
0.9376764076000476, class1
0.9376764076000476, class2
0.9376764076000476, class3
0.9376764076000476, class4
0.9376764076000476, class5
0.9376764076000476, class6
0.9376764076000476, class7
0.9376764076000476, class8
0.9376764076000476, class9
0.9376764076000476, class10
0.9376764076000476, class0
0.9376764076000476, class1
0.9376764076000476, class2
0.9376764076000476, class3
0.9376764076000476, class4
0.9376764076000476, class5
0.9376764076000476, class6
0.9376764076000476, class7
0.9376764076000476, class8
0.9376764076000476, class9
0.9376764076000476, class10
0.9376764076000476, class0
0.9376764076000476, class1
0.9376764076000476, class2
0.9376764076000476, class3
0.9376764076000476, class4
0.9376764076000476, class5
0.9376764076000476, class6
0.9376764076000476, class7
0.9376764076000476, class8
0.9376764076000476, class9
0.9376764076000476, class10
0.9376764076000476, class0
0.9376764076000476, class1
0.9376764076000476, class2
0.9376764076000476, class3
0.9376764076000476, class4
0.9376764076000476, class5
0.9376764076000476, class6
0.9376764076000476, class7
0.9376764076000476, class8
0.9376764076000476, class9
0.9376764076000476, class10
1.8753528152000951, class0
1.8753528152000951, class1
1.8753528152000951, class2
1.8753528152000951, class3
1.8753528152000951, class4
1.8753528152000951, class5
1.8753528152000951, class6
1.8753528152000951, class7
1.8753528152000951, class8
1.8753528152000951, class9
1.8753528152000951, class10
1.8753528152000951, class0
1.8753528152000951, class1
1.8753528152000951, class2
1.8753528152000951, class3
1.8753528152000951, class4
1.8753528152000951, class5
1.8753528152000951, class6
1.8753528152000951, class7
1.8753528152000951, class8
1.8753528152000951, class9
1.8753528152000951, class10
1.8753528152000951, class0
1.8753528152000951, class1
1.8753528152000951, class2
1.8753528152000951, class3
1.8753528152000951, class4
1.8753528152000951, class5
1.8753528152000951, class6
1.8753528152000951, class7
1.8753528152000951, class8
1.8753528152000951, class9
1.8753528152000951, class10
1.8753528152000951, class0
1.8753528152000951, class1
1.8753528152000951, class2
1.8753528152000951, class3
1.8753528152000951, class4
1.8753528152000951, class5
1.8753528152000951, class6
1.8753528152000951, class7
1.8753528152000951, class8
1.8753528152000951, class9
1.8753528152000951, class10
1.8753528152000951, class0
1.8753528152000951, class1
1.8753528152000951, class2
1.8753528152000951, class3
1.8753528152000951, class4
1.8753528152000951, class5
1.8753528152000951, class6
1.8753528152000951, class7
1.8753528152000951, class8
1.8753528152000951, class9
1.8753528152000951, class10
1.8753528152000951, class0
1.8753528152000951, class1
1.8753528152000951, class2
1.8753528152000951, class3
1.8753528152000951, class4
1.8753528152000951, class5
1.8753528152000951, class6
1.8753528152000951, class7
1.8753528152000951, class8
1.8753528152000951, class9
1.8753528152000951, class10
2.8130292228001426, class0
2.8130292228001426, class1
2.8130292228001426, class2
2.8130292228001426, class3
2.8130292228001426, class4
2.8130292228001426, class5
2.8130292228001426, class6
2.8130292228001426, class7
2.8130292228001426, class8
2.8130292228001426, class9
2.8130292228001426, class10
2.8130292228001426, class0
2.8130292228001426, class1
2.8130292228001426, class2
2.8130292228001426, class3
2.8130292228001426, class4
2.8130292228001426, class5
2.8130292228001426, class6
2.8130292228001426, class7
2.8130292228001426, class8
2.8130292228001426, class9
2.8130292228001426, class10
2.8130292228001426, class0
2.8130292228001426, class1
2.8130292228001426, class2
2.8130292228001426, class3
2.8130292228001426, class4
2.8130292228001426, class5
2.8130292228001426, class6
2.8130292228001426, class7
2.8130292228001426, class8
2.8130292228001426, class9
2.8130292228001426, class10
2.8130292228001426, class0
2.8130292228001426, class1
2.8130292228001426, class2
2.8130292228001426, class3
2.8130292228001426, class4
2.8130292228001426, class5
2.8130292228001426, class6
2.8130292228001426, class7
2.8130292228001426, class8
2.8130292228001426, class9
2.8130292228001426, class10
2.8130292228001426, class0
2.8130292228001426, class1
2.8130292228001426, class2
2.8130292228001426, class3
2.8130292228001426, class4
2.8130292228001426, class5
2.8130292228001426, class6
2.8130292228001426, class7
2.8130292228001426, class8
2.8130292228001426, class9
2.8130292228001426, class10
2.8130292228001426, class0
2.8130292228001426, class1
2.8130292228001426, class2
2.8130292228001426, class3
2.8130292228001426, class4
2.8130292228001426, class5
2.8130292228001426, class6
2.8130292228001426, class7
2.8130292228001426, class8
2.8130292228001426, class9
2.8130292228001426, class10
3.7507056304001902, class0
3.7507056304001902, class1
3.7507056304001902, class2
3.7507056304001902, class3
3.7507056304001902, class4
3.7507056304001902, class5
3.7507056304001902, class6
3.7507056304001902, class7
3.7507056304001902, class8
3.7507056304001902, class9
3.7507056304001902, class10
3.7507056304001902, class0
3.7507056304001902, class1
3.7507056304001902, class2
3.7507056304001902, class3
3.7507056304001902, class4
3.7507056304001902, class5
3.7507056304001902, class6
3.7507056304001902, class7
3.7507056304001902, class8
3.7507056304001902, class9
3.7507056304001902, class10
3.7507056304001902, class0
3.7507056304001902, class1
3.7507056304001902, class2
3.7507056304001902, class3
3.7507056304001902, class4
3.7507056304001902, class5
3.7507056304001902, class6
3.7507056304001902, class7
3.7507056304001902, class8
3.7507056304001902, class9
3.7507056304001902, class10
3.7507056304001902, class0
3.7507056304001902, class1
3.7507056304001902, class2
3.7507056304001902, class3
3.7507056304001902, class4
3.7507056304001902, class5
3.7507056304001902, class6
3.7507056304001902, class7
3.7507056304001902, class8
3.7507056304001902, class9
3.7507056304001902, class10
3.7507056304001902, class0
3.7507056304001902, class1
3.7507056304001902, class2
3.7507056304001902, class3
3.7507056304001902, class4
3.7507056304001902, class5
3.7507056304001902, class6
3.7507056304001902, class7
3.7507056304001902, class8
3.7507056304001902, class9
3.7507056304001902, class10
3.7507056304001902, class0
3.7507056304001902, class1
3.7507056304001902, class2
3.7507056304001902, class3
3.7507056304001902, class4
3.7507056304001902, class5
3.7507056304001902, class6
3.7507056304001902, class7
3.7507056304001902, class8
3.7507056304001902, class9
3.7507056304001902, class10
4.6883820380002375, class0
4.6883820380002375, class1
4.6883820380002375, class2
4.6883820380002375, class3
4.6883820380002375, class4
4.6883820380002375, class5
4.6883820380002375, class6
4.6883820380002375, class7
4.6883820380002375, class8
4.6883820380002375, class9
4.6883820380002375, class10
4.6883820380002375, class0
4.6883820380002375, class1
4.6883820380002375, class2
4.6883820380002375, class3
4.6883820380002375, class4
4.6883820380002375, class5
4.6883820380002375, class6
4.6883820380002375, class7
4.6883820380002375, class8
4.6883820380002375, class9
4.6883820380002375, class10
4.6883820380002375, class0
4.6883820380002375, class1
4.6883820380002375, class2
4.6883820380002375, class3
4.6883820380002375, class4
4.6883820380002375, class5
4.6883820380002375, class6
4.6883820380002375, class7
4.6883820380002375, class8
4.6883820380002375, class9
4.6883820380002375, class10
4.6883820380002375, class0
4.6883820380002375, class1
4.6883820380002375, class2
4.6883820380002375, class3
4.6883820380002375, class4
4.6883820380002375, class5
4.6883820380002375, class6
4.6883820380002375, class7
4.6883820380002375, class8
4.6883820380002375, class9
4.6883820380002375, class10
4.6883820380002375, class0
4.6883820380002375, class1
4.6883820380002375, class2
4.6883820380002375, class3
4.6883820380002375, class4
4.6883820380002375, class5
4.6883820380002375, class6
4.6883820380002375, class7
4.6883820380002375, class8
4.6883820380002375, class9
4.6883820380002375, class10
4.6883820380002375, class0
4.6883820380002375, class1
4.6883820380002375, class2
4.6883820380002375, class3
4.6883820380002375, class4
4.6883820380002375, class5
4.6883820380002375, class6
4.6883820380002375, class7
4.6883820380002375, class8
4.6883820380002375, class9
4.6883820380002375, class10
5.626058445600285, class0
5.626058445600285, class1
5.626058445600285, class2
5.626058445600285, class3
5.626058445600285, class4
5.626058445600285, class5
5.626058445600285, class6
5.626058445600285, class7
