@relation waveform-5000_ica_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute attr_13 numeric
@attribute attr_14 numeric
@attribute attr_15 numeric
@attribute attr_16 numeric
@attribute attr_17 numeric
@attribute attr_18 numeric
@attribute attr_19 numeric
@attribute attr_20 numeric
@attribute attr_21 numeric
@attribute attr_22 numeric
@attribute attr_23 numeric
@attribute attr_24 numeric
@attribute attr_25 numeric
@attribute attr_26 numeric
@attribute attr_27 numeric
@attribute attr_28 numeric
@attribute attr_29 numeric
@attribute attr_30 numeric
@attribute attr_31 numeric
@attribute attr_32 numeric
@attribute attr_33 numeric
@attribute attr_34 numeric
@attribute attr_35 numeric
@attribute Classes {class0,class1,class2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,0.534277,0.34761,0.280209,-0.742852,1.193371,0.617231,0.493994,-0.573271,0.796039,0.596723,-0.659591,0.465034,0.68821,0.206434,0.135799,0.374986,1.390902,-1.235017,-0.225424,0.543735,-0.901859,-0.624864,-0.557576,1.613064,-0.046997,-1.736214,-0.842087,1.470954,-1.491097,-0.898379,2.43766,0.26005,-1.568926,-0.403118,0.198399,class2,cluster0
1,-0.635316,-0.637412,0.175762,1.592489,1.059396,0.245389,1.540691,-0.832032,-0.037497,-1.051421,-0.158424,-0.920771,-1.146582,-0.517692,0.045352,-1.224064,-0.096435,-0.508121,-0.701003,-0.066401,0.77658,-1.04088,-1.490123,-1.801817,0.961386,0.781891,-2.000859,0.753511,1.57919,-0.079501,0.411695,-0.12936,-0.949413,0.224636,0.420628,class0,cluster0
2,-0.094782,0.098571,1.137757,1.489219,0.987556,0.961788,-1.282575,-0.693519,0.203992,1.195866,-1.0555,0.334094,-0.809277,0.654308,2.234695,1.708781,-1.256906,-1.373551,1.587152,0.372911,1.449637,0.008001,-1.385205,0.820426,0.101443,0.724535,-0.204573,-1.281734,0.145358,1.815022,-0.960136,-0.233393,-0.631677,-1.304625,1.528232,class1,cluster2
3,1.574888,0.211974,-0.630074,0.51587,-1.849,0.122013,-1.4994,-0.00446,-0.503935,0.512753,0.312949,-0.810508,0.049773,-1.306877,1.618065,0.124811,1.157814,-2.137602,-2.142147,-0.240953,-1.314733,1.34576,0.167181,-0.727636,-0.589456,0.866626,0.01958,-1.370825,-0.253139,1.889976,0.676963,1.08736,0.302256,-0.486534,-0.772515,class0,cluster0
4,1.213896,1.056505,0.788198,0.919422,2.941232,-0.050329,-0.508105,0.806828,1.81575,0.054009,0.805307,0.476154,1.525483,-0.045,-1.27876,-0.295623,-1.732965,-0.009077,0.044448,-1.611959,1.558093,1.397465,2.462542,0.537103,1.921241,-0.149798,1.511206,0.898708,-0.238959,0.145095,0.281471,-0.350051,-0.539038,-0.231473,1.088935,class1,cluster2
5,-1.260426,1.003444,-0.634279,0.309797,-0.662031,0.503532,-0.946808,0.575252,-0.629265,-0.376092,1.689341,-0.311492,1.144884,0.288127,0.532163,-0.59126,0.007919,-1.084523,0.664331,0.347461,2.385985,0.321629,0.364208,-0.043275,-1.060168,-0.134363,-0.538126,-0.496564,0.534554,0.69202,1.085689,-0.895284,-0.16818,0.942991,0.104424,class1,cluster1
6,-1.069887,-0.373246,1.608373,0.403544,-0.827926,-1.306162,-0.143098,-0.604211,0.494391,0.25893,-1.336487,-0.380082,0.291777,-0.196691,-0.565451,1.395292,-1.446303,0.744046,-0.767754,-0.501149,-0.492137,-0.277638,1.101186,0.118027,1.01328,0.485876,-0.092936,-0.99441,1.604087,0.444081,0.300319,0.905275,0.309411,0.433671,-1.341979,class0,cluster2
7,0.601495,0.045414,-1.64208,0.030863,-1.507939,-0.985529,0.263692,-0.646994,0.68127,-0.624327,-0.027054,-0.378773,0.367051,0.916774,-0.888669,-1.217521,1.170542,0.90724,-0.836095,0.411796,-1.624034,0.324006,0.206733,0.379401,-2.234285,-0.512708,0.602314,1.352411,0.079487,-1.052254,-1.634779,-2.112395,0.721001,-0.099265,1.098246,class2,cluster1
8,1.466281,-0.777754,-1.428449,0.292344,-0.854643,-1.035576,-0.92,0.624261,-0.466628,2.334985,-0.165091,-0.114968,-0.689394,0.073127,0.459413,-0.929221,-1.421545,0.946936,0.236178,-0.502083,-1.189601,0.583505,0.518197,0.820509,-0.494871,-1.330139,0.046299,0.806887,-0.493185,0.306104,0.033234,0.826407,-0.40365,-1.541539,0.519303,class0,cluster2
9,0.113478,0.131731,-0.083916,0.803226,0.875367,0.941933,1.051455,0.154087,0.015322,-1.234046,-0.886812,-0.263405,-0.976936,-0.723286,0.719638,-0.228412,0.623656,0.14162,-0.592968,0.312176,1.051583,-0.73793,-1.023984,0.885063,-1.436472,1.4901,1.056833,0.075429,2.120989,-1.448006,-1.454254,-0.493314,0.824999,0.085243,1.546371,class2,cluster1
10,0.454882,1.122072,-1.441356,0.214095,-1.577569,-0.239863,0.102616,-0.841119,0.073404,-0.694352,0.232845,-0.286712,0.066146,-0.348417,0.685146,0.036301,-1.298741,-2.360469,-0.551172,-1.290617,-0.977479,0.087542,-1.478006,0.0103,1.461783,0.143881,-0.141425,0.198583,0.779731,-0.820003,-0.4359,-0.735396,0.816717,0.269987,0.266762,class1,cluster2
11,0.562874,1.875713,0.256212,-1.99211,1.111068,1.164693,0.040119,-0.48545,0.628884,-0.026007,1.042263,-2.502936,1.489839,0.483241,-1.920727,-0.941977,0.580353,0.432504,-0.38077,-0.263253,0.130867,2.840731,-1.640817,-0.528264,0.536342,0.534446,-0.343151,-0.868488,0.819017,0.394158,0.620929,0.870179,-0.042082,-0.835253,-1.280474,class2,cluster0
