@relation waveform-5000_pca_0.95_clustered

@attribute Instance_number numeric
@attribute attr_1 numeric
@attribute attr_2 numeric
@attribute attr_3 numeric
@attribute attr_4 numeric
@attribute attr_5 numeric
@attribute attr_6 numeric
@attribute attr_7 numeric
@attribute attr_8 numeric
@attribute attr_9 numeric
@attribute attr_10 numeric
@attribute attr_11 numeric
@attribute attr_12 numeric
@attribute attr_13 numeric
@attribute attr_14 numeric
@attribute attr_15 numeric
@attribute attr_16 numeric
@attribute attr_17 numeric
@attribute attr_18 numeric
@attribute attr_19 numeric
@attribute attr_20 numeric
@attribute attr_21 numeric
@attribute attr_22 numeric
@attribute attr_23 numeric
@attribute attr_24 numeric
@attribute attr_25 numeric
@attribute attr_26 numeric
@attribute attr_27 numeric
@attribute attr_28 numeric
@attribute attr_29 numeric
@attribute attr_30 numeric
@attribute attr_31 numeric
@attribute attr_32 numeric
@attribute attr_33 numeric
@attribute attr_34 numeric
@attribute attr_35 numeric
@attribute Classes {class0,class1,class2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,5.43207,2.748043,-0.286556,-0.678421,-0.232315,-1.213837,-0.553311,-1.032228,-0.622944,1.822889,-1.63766,-0.099112,-0.99584,1.264687,-0.75899,-0.351759,-0.06593,-0.146344,-0.992813,-0.026585,0.634863,0.204764,-0.780976,0.15021,-0.790075,-0.126453,0.366533,0.661619,-0.701281,0.115587,-1.321371,-1.078401,-1.460174,0.218482,-0.909582,class2,cluster1
1,2.978976,1.533991,-1.082087,0.066377,0.764401,-0.945884,0.571181,-0.433596,0.752491,-0.951719,-0.432637,0.067276,0.963253,0.768322,-0.252168,-1.089688,-0.421428,0.325501,-2.38622,1.45005,-0.64544,0.369821,0.161643,2.180889,-0.967289,-0.832583,-1.47467,-1.559116,1.084577,0.017688,-0.013847,0.217699,1.21057,1.263109,0.647934,class0,cluster2
2,-5.80862,0.441366,0.323205,-0.184863,1.598763,1.424019,0.859011,1.207723,-2.036944,-0.288797,-1.415223,1.384368,-1.034307,1.546679,1.187899,-0.933068,0.692696,-0.344661,-0.981947,-0.384298,-0.87358,-0.604955,0.312445,1.211613,0.261456,0.693019,-0.375181,1.035728,-0.666081,1.32442,-0.799204,-0.66373,2.27915,-0.480405,0.651629,class1,cluster0
3,7.380346,2.223598,-0.202588,-0.384674,-1.041491,1.754415,1.233632,0.434304,-0.522102,-1.474529,-0.219429,-0.587532,0.192287,1.288386,0.838098,-0.620739,0.618083,-1.248289,-0.692684,1.863505,0.607921,-1.037021,-0.768649,-2.179683,1.375825,-1.042943,-1.346725,0.025272,0.51213,-0.455135,1.061335,-1.487566,0.730401,-2.007903,-0.686515,class0,cluster2
4,-4.360906,-0.375304,0.796029,2.309497,-1.200908,-3.023302,-1.466559,-0.656272,-0.969971,-1.289511,0.632822,1.083563,-2.357546,-0.929096,-0.547596,-0.000244,-0.65373,0.182027,0.147066,0.925945,-0.945024,-0.679416,0.7533,-0.005169,0.484887,0.982794,0.295769,0.905587,-2.59153,0.076521,-0.425177,1.192799,0.14167,1.745703,-1.406997,class1,cluster0
5,-1.049954,-2.871922,-0.565529,-1.14657,1.165513,-0.117181,0.512053,-1.490049,0.935267,0.174793,0.710643,-1.163968,-0.061631,0.271615,1.105454,0.132954,-1.058262,-0.750926,-0.245277,0.877098,-1.000177,-2.0786,0.821701,-0.949349,-0.44171,-0.035089,1.0251,0.72753,-0.67619,1.984151,0.207471,-0.640359,0.780698,-0.39212,-0.291008,class1,cluster0
6,-7.27041,2.419478,-0.531165,-0.215704,-0.95098,-0.100684,-1.607788,0.204746,-0.674342,-2.184276,0.795919,-0.269775,0.822612,-1.482116,1.440324,0.929044,-0.075201,0.741164,-0.379717,-0.821974,-0.389522,1.012701,-0.936085,0.68469,-0.456253,-0.182235,0.303331,0.216173,-0.224973,-0.383255,0.341954,0.702906,0.770591,-1.433819,-0.967709,class0,cluster2
7,2.071417,-6.267641,0.99059,1.215949,0.796949,-0.188482,-0.24616,0.954684,0.435469,1.495368,-0.032889,0.562308,1.399553,-1.381861,-0.062649,1.636907,0.216036,-0.106423,0.583693,-1.246979,1.109422,-0.905933,0.03398,-0.760487,0.589455,-2.09474,-1.775963,-0.80431,0.246043,-1.490659,-0.193455,-0.106002,-0.51184,0.553344,-0.550457,class2,cluster1
8,-8.948246,2.60864,1.747055,1.87684,-0.70033,0.675753,-0.496002,1.050919,-0.597602,0.601466,-0.678228,0.758789,0.154952,1.144683,-1.053056,1.123467,-0.27201,1.318036,0.118096,0.037748,0.197208,-1.166951,-1.511119,-1.087858,1.741466,-1.052353,-1.430364,1.582261,0.626829,-0.130315,0.970865,-0.079384,-0.191817,0.726729,-0.265864,class0,cluster2
9,6.553257,-1.374824,-0.581004,1.746908,1.498568,-0.247733,-1.628859,1.287739,1.117775,0.412922,-0.653419,1.501702,1.273384,-0.728903,-0.109307,-0.403051,0.609196,-0.624835,-0.161965,-1.611557,-1.75035,-0.177111,2.093558,1.261702,-0.792042,-0.893025,-0.896501,-0.464467,0.07438,0.236231,0.664305,-0.017747,0.238767,-0.021711,0.395729,class2,cluster1
10,-4.705769,-1.107293,-0.023857,1.418267,0.445336,0.447533,0.85513,2.21292,-0.218021,-1.411259,-0.464024,-1.174655,1.178588,-0.056784,0.544421,-0.443351,0.941065,0.942051,-1.22158,0.796579,-0.630442,-0.439746,-0.963035,0.812352,1.302545,-2.326297,-0.758636,-0.788098,-1.322534,-0.614969,-1.458114,-1.856589,0.515114,-0.021668,0.911258,class1,cluster0
11,4.540847,-0.048316,0.309607,1.366749,-1.933732,-1.188533,0.800678,2.145345,0.24467,-1.268019,-0.606581,-0.066042,-2.151868,-0.682453,0.65262,0.939838,0.944488,-0.555386,-0.130178,0.994221,2.72066,-1.108106,-0.390967,0.827195,-1.101453,-0.297151,1.767197,-2.161071,0.217344,0.636018,-0.178814,-0.774602,-2.448604,0.883351,-0.678744,class2,cluster1
12,2.853675,-4.392677,-0.583634,0.390876,-0.365407,-0.46281,2.488312,0.529078,-1.002235,2.153804,0.612917,0.086006,-1.171178,0.495421,-0.079722,-0.856273,0.949098,0.598796,0.929067,0.92113,-0.570341,0.253042,-1.049073,1.598785,-0.37827,-0.180506,0.254275,0.622545,1.17065,0.473854,-0.545837,0.04208,-1.316045,-1.674201,-0.953876,class2,cluster1
13,2.264452,-4.948173,0.341212,0.296978,-1.555241,-2.334082,0.984356,-0.835844,0.688226,0.136767,0.240463,-0.125716,-0.348138,2.325392,-2.551233,-0.036474,-0.74994,1.331473,-0.384028,-0.28277,-0.200127,-1.863403,-1.231514,-0.506951,-1.245828,-0.41399,-0.072341,-0.677497,-0.223543,-0.497855,1.142797,0.672217,1.028241,-0.651432,0.308811,class2,cluster1
14,6.479853,0.78552,-0.394634,0.978263,0.301977,0.000665,-0.042299,-0.314158,0.066666,0.886475,0.061065,1.727487,-0.783857,0.121425,-1.15541,1.023669,1.317267,-0.446497,-0.563217,-0.260668,0.087091,0.509106,-0.151217,0.051934,-0.106851,1.043227,0.060661,-0.897906,1.106284,0.91166,1.361093,0.74766,-1.040694,-0.028448,0.6289,class2,cluster1
15,3.184318,-2.08419,1.656417,1.30961,1.366711,-0.315561,0.230958,0.066761,-0.243558,0.010787,0.715294,-0.629256,-0.642995,-0.340471,-1.034744,-0.92119,0.186244,-1.312265,1.085776,-1.786018,-0.064467,-1.086378,0.159529,-0.95806,-1.510626,0.044355,0.890398,-0.525258,-0.467112,-0.547422,-1.052216,0.608787,-0.275308,0.500371,-1.278203,class2,cluster1
16,4.090666,-2.251513,0.768606,0.585033,0.861454,0.998289,-0.149708,0.711461,-0.243854,-0.467105,-0.02228,-0.501771,1.269124,-0.135158,-0.374499,-0.350683,0.568959,-2.982015,0.633668,-0.714292,0.804987,0.100436,-0.174339,0.920734,0.333039,0.625986,0.292688,0.986607,0.786763,-0.531578,-0.426009,1.12922,0.122221,2.07484,-0.800416,class2,cluster1
17,5.418919,-0.664426,-1.16381,-0.061293,-0.982963,-2.101325,-0.455299,0.130561,1.458217,0.515337,1.89552,0.371673,-0.61783,-0.670662,-0.111756,-0.849695,2.184312,-0.495986,0.592577,-0.015839,2.415084,-0.266245,0.208396,-0.23906,-1.012588,-0.409961,0.647107,-1.331537,-1.20003,1.619416,0.789878,0.675222,0.337941,-0.581337,0.48518,class2,cluster1
18,-4.695228,-1.451388,1.752994,0.61524,-2.023746,1.855818,-1.112661,0.401387,-0.48738,0.884371,-0.440754,-1.770654,0.315948,0.676815,-1.04077,1.386338,-0.578304,-1.660891,2.156023,1.892222,0.310254,0.354648,-0.503663,1.125577,0.08585,-0.149294,0.005066,-2.368471,1.08182,0.311164,1.270179,-0.457584,1.378935,1.245036,1.410296,class1,cluster0
19,2.068107,1.262451,-0.28221,0.763174,-0.712003,-1.175831,-1.069522,0.987032,0.146316,0.689261,1.595676,-0.294261,-1.785051,0.606526,1.564897,0.073737,0.062706,-0.301664,-0.986943,-0.194311,-0.796063,-1.190282,0.46684,0.879218,-0.492542,-0.362668,1.181866,-0.26012,0.080998,1.133403,-0.620616,-1.624798,-0.319424,-0.033234,-1.349226,class0,cluster2
20,-0.013111,-4.830828,-0.490296,0.540713,-1.857694,0.330589,1.175541,-0.813611,-1.104349,-0.725999,1.806123,-0.117973,-1.609997,-0.875718,-0.862839,-1.197129,-0.122383,-1.334064,-0.426167,-1.723795,0.659577,-0.532764,-0.756975,-1.608928,-0.341735,0.337441,-2.005781,1.285494,-2.31998,-0.038537,-0.529185,1.4361,0.288085,0.332478,-0.753933,class2,cluster1
