@relation waveform-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {0,1,2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,18.844713,19.347008,-4.711178,-7.291934,7.932793,12.349522,11.760625,-12.765214,9.19719,-20.161071,2,cluster1
1,23.659814,8.435087,-2.37291,-12.193638,0.69282,11.292971,4.122281,0.484974,3.360179,-23.85034,0,cluster1
2,15.155445,19.017918,22.585943,-2.113102,4.451371,4.139601,-9.786087,1.766692,12.332202,-9.595561,1,cluster0
3,16.956777,-1.853294,-14.30674,-8.487049,-2.06114,8.504369,10.91192,-19.970546,8.573651,-20.161071,0,cluster1
4,8.244562,26.102006,-2.130422,-11.58742,3.568025,5.144191,-13.180907,8.798818,17.926726,-5.923614,1,cluster0
5,15.519175,7.430498,7.932793,8.313844,9.006664,-2.73664,5.213473,-3.75855,1.939897,-7.932793,1,cluster2
6,16.679649,21.979725,8.1926,-0.190526,-1.732051,-1.437602,-13.787124,-1.489564,9.093267,3.671948,0,cluster0
7,10.115177,9.456997,2.961807,-5.525242,20.091789,-4.78046,0.415692,-12.332202,18.06529,-1.939897,2,cluster2
8,13.873727,25.859519,17.407111,-3.273576,6.079498,4.399409,-22.256853,-4.43405,20.871212,-0.069282,0,cluster0
9,17.996008,1.991858,-16.904816,-6.581793,3.135012,-0.710141,2.684679,-2.407551,0.502295,-22.291494,2,cluster1
10,7.551742,10.825318,13.579278,-3.221615,7.014806,2.528794,-5.854332,-1.628128,19.485572,-5.248114,1,cluster2
11,16.298598,18.08261,-11.93383,-10.548189,0.051962,1.004589,12.158997,-2.528794,22.82843,-6.252703,2,cluster1
12,10.23642,9.993933,3.498743,-3.516063,12.020433,0.450333,5.819691,-12.297561,26.275211,-0.606218,2,cluster2
13,9.422356,9.941972,6.512511,-9.491638,13.388753,5.248114,4.035678,-12.072394,21.546712,1.680089,2,cluster2
14,21.304225,9.699485,-18.844713,-6.789639,4.451371,1.610807,4.122281,-0.415692,1.437602,-19.295046,2,cluster1
15,15.865585,16.766252,0.225167,-6.287344,10.548189,-1.004589,-4.139601,-10.132497,12.574689,-4.139601,2,cluster2
16,8.729536,6.633755,-11.483497,0.796743,1.506884,3.152332,-0.831384,-4.399409,9.578241,-17.996008,2,cluster1
17,25.166698,1.506884,-5.334716,-7.291934,4.191563,-6.425908,9.838049,-7.101408,13.28483,-5.525242,2,cluster1
18,10.080536,16.108073,1.680089,-8.52169,5.733088,8.452408,-7.447818,-5.230793,24.577801,-4.43405,1,cluster2
19,14.99956,13.111625,-3.360179,-7.222652,-3.39482,1.091192,2.528794,-2.37291,10.201779,-7.309254,0,cluster1
20,3.360179,10.305702,6.529832,0.433013,15.086163,0.207846,-1.541525,-19.173802,26.361813,3.169653,2,cluster2
21,16.229316,17.129982,-7.084088,-6.096819,1.316359,5.317396,-4.988306,2.338269,-1.108513,-7.15337,0,cluster1
22,17.7362,15.259368,6.425908,-3.481422,-3.879794,2.511474,-13.665881,1.524205,5.940934,-8.885421,0,cluster0
