@relation 'AT: vowel-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '0.468Sex-0.365Feature 7+0.289Feature 9+0.285Feature 4-0.263Feature 8...' numeric
@attribute '0.446Feature 6-0.408Feature 3-0.367Feature 2-0.326Feature 9-0.276Feature 8...' numeric
@attribute '-0.385Train or Test+0.358Feature 1-0.346Feature 5-0.305Feature 3-0.295Feature 4...' numeric
@attribute '0.52 Train or Test+0.352Feature 1+0.262Feature 8-0.222Speaker Number=Kate+0.221Speaker Number=Mike...' numeric
@attribute '0.366Speaker Number=Andrew-0.288Feature 4+0.287Speaker Number=David-0.285Feature 2+0.285Feature 1...' numeric
@attribute '-0.468Feature 0-0.346Speaker Number=David-0.312Speaker Number=Sarah-0.286Feature 9+0.283Speaker Number=Andrew...' numeric
@attribute '0.62 Speaker Number=Bill-0.311Feature 7-0.302Speaker Number=Jo-0.287Speaker Number=Rich-0.224Speaker Number=David...' numeric
@attribute '-0.546Speaker Number=Kate+0.421Speaker Number=Rose-0.375Speaker Number=Sarah+0.278Speaker Number=Penny-0.234Feature 8...' numeric
@attribute '-0.516Speaker Number=Andrew+0.439Speaker Number=David+0.325Speaker Number=Tim-0.286Speaker Number=Sarah+0.275Speaker Number=Sue...' numeric
@attribute '0.525Speaker Number=Nick-0.418Speaker Number=Wendy+0.357Speaker Number=Jo+0.305Speaker Number=Sue-0.268Speaker Number=Rich...' numeric
@attribute '-0.576Speaker Number=Mark+0.46 Speaker Number=Bill+0.302Speaker Number=Wendy+0.269Speaker Number=Mike-0.244Speaker Number=Tim...' numeric
@attribute '0.566Speaker Number=Mike+0.429Speaker Number=Kate-0.326Speaker Number=Rich+0.306Speaker Number=Nick-0.275Speaker Number=Jo...' numeric
@attribute '-0.435Speaker Number=Tim-0.372Speaker Number=Sarah+0.326Speaker Number=Rich+0.301Speaker Number=Mark-0.285Speaker Number=Rose...' numeric
@attribute '0.51 Speaker Number=Penny-0.399Speaker Number=Wendy-0.392Speaker Number=Nick-0.366Speaker Number=Jo-0.261Speaker Number=Mark...' numeric
@attribute '0.524Speaker Number=Tim+0.407Speaker Number=Wendy-0.345Speaker Number=Rich-0.323Speaker Number=Rose+0.306Speaker Number=Penny...' numeric
@attribute '-0.412Speaker Number=Sue+0.379Speaker Number=Sarah-0.371Speaker Number=Mike-0.288Speaker Number=Jo+0.276Speaker Number=Bill...' numeric
@attribute '-0.455Feature 5+0.419Feature 0-0.347Feature 7+0.312Speaker Number=Rich-0.286Speaker Number=Sue...' numeric
@attribute '0.655Feature 6-0.332Feature 7+0.267Feature 5+0.266Feature 9-0.244Feature 0...' numeric
@attribute '-0.457Feature 8-0.441Feature 4+0.367Feature 9+0.338Feature 7-0.26Speaker Number=David...' numeric
@attribute Class {hid,hId,hEd,hAd,hYd,had,hOd,hod,hUd,hud,hed}

@data
-1.546625,-0.8218,-1.69516,-2.129184,1.700743,2.36524,-0.208373,0.414429,-2.336902,-0.097378,-0.114485,-0.789553,-0.563407,0.813606,0.235495,-0.084742,-0.371104,-0.268892,0.273773,hid
-1.759449,-0.779993,-1.628353,-2.04494,1.697283,1.970998,0.106559,0.322211,-2.422529,-0.200389,-0.079246,-0.769969,-0.563407,0.813606,0.20019,-0.340666,-0.302161,-0.025275,0.382381,hId
-2.142063,-0.113721,-1.249507,-2.00026,1.810288,0.324628,0.573583,0.230426,-2.472923,-0.100884,-0.270547,-0.725459,-0.563407,0.813606,0.278285,-1.174853,0.706397,-1.127426,0.864283,hEd
-2.360667,-0.562066,-0.656299,-1.315673,2.128737,1.029938,0.323828,-0.498998,-2.222678,0.087331,-0.352353,-0.815104,-0.563407,0.813606,0.698278,-0.837506,1.334714,-0.916317,-0.3948,hAd
-2.172369,-0.551464,0.387031,-0.763092,2.060505,1.04693,0.632334,-0.937659,-1.86554,0.225606,-0.113812,-0.720185,-0.563407,0.813606,0.886173,-1.041302,1.751719,1.216782,-0.048453,hYd
-1.980111,-0.615791,0.378851,-0.677162,2.052598,1.173907,0.685775,-0.842996,-2.008489,0.202428,-0.126311,-0.725763,-0.563407,0.813606,0.864777,-0.969837,1.571032,1.083777,-0.090908,had
-2.408441,-0.742102,1.170596,-0.130823,2.443412,1.384903,0.125556,-0.685504,-2.056406,0.143244,-0.032624,-0.736518,-0.563407,0.813606,1.081403,-0.782687,0.794179,1.235749,0.436132,hOd
-2.196831,-2.35097,1.163919,0.240668,2.487256,1.903611,-0.603052,-0.374494,-2.155993,0.087389,-0.129533,-0.821999,-0.563407,0.813606,1.191265,-0.066323,0.431523,0.159694,0.573978,hod
-2.112504,-0.432473,-0.250809,-0.936389,2.286378,1.749862,-0.026331,0.255865,-2.519354,-0.264802,-0.166933,-0.812586,-0.563407,0.813606,0.589373,-0.465815,-0.521242,-0.53071,0.08635,hUd
-2.059981,-0.522856,-1.107813,-1.448804,2.129503,2.255068,-0.043089,0.088378,-2.198388,-0.337253,-0.251345,-0.857839,-0.563407,0.813606,0.441119,-0.241285,-0.158737,-0.621979,-1.041702,hud
-2.446485,-0.487281,-0.415376,-1.151559,2.031287,1.466991,0.065985,-0.149753,-2.422742,-0.114026,-0.279456,-0.813542,-0.563407,0.813606,0.642293,-0.628979,0.335072,-0.885601,-0.26631,hed
-1.653619,-0.802516,-1.666332,-2.11115,1.684158,2.381108,-0.177833,0.389324,-2.383037,-0.128008,-0.08622,-0.782078,-0.563407,0.813606,0.226993,-0.108671,-0.472017,-0.115375,0.307055,hid
-1.813335,-0.741553,-1.711219,-2.158554,1.768575,1.73928,0.041955,0.478342,-2.409475,-0.225084,-0.089347,-0.757745,-0.563407,0.813606,0.158557,-0.406862,-0.357037,-0.247212,0.690557,hId
-2.123072,-0.057733,-1.300705,-2.031555,1.868884,0.288045,0.557548,0.296285,-2.507611,-0.103948,-0.274934,-0.729007,-0.563407,0.813606,0.265785,-1.179589,0.629506,-1.240339,0.941035,hEd
-2.209669,-0.46987,-0.450576,-1.218315,1.977792,1.065259,0.525564,-0.692313,-2.024932,0.110269,-0.348077,-0.792921,-0.563407,0.813606,0.72138,-0.918485,1.717435,-0.451971,-0.750191,hAd
-2.446356,-0.345348,0.239406,-0.814758,2.14195,1.090901,0.570222,-0.907349,-2.024137,0.155609,-0.157305,-0.753173,-0.563407,0.813606,0.87434,-1.032468,1.492671,0.76285,-0.278459,hYd
-2.096382,-0.514374,0.41996,-0.662323,2.079394,1.19102,0.676573,-0.891728,-2.042501,0.2089,-0.113174,-0.729308,-0.563407,0.813606,0.88614,-0.990062,1.513659,1.137485,-0.104402,had
-2.153638,-1.008608,1.251438,-0.047704,2.377347,1.440144,0.140407,-0.710178,-1.944564,0.188175,-0.050177,-0.727214,-0.563407,0.813606,1.103264,-0.716593,1.041028,1.321536,0.387771,hOd
-2.266891,-2.396615,1.230999,0.273773,2.510613,1.872019,-0.635558,-0.385402,-2.15568,0.09505,-0.128478,-0.812996,-0.563407,0.813606,1.21062,-0.077958,0.443418,0.173098,0.657184,hod
-2.278978,-0.176646,-0.053075,-0.840558,2.139912,1.824501,0.354111,-0.20997,-2.270474,-0.280168,-0.183592,-0.769419,-0.563407,0.813606,0.619971,-0.673417,0.101385,0.200264,-0.747813,hUd
-1.987375,-0.516686,-1.149315,-1.492908,2.191193,2.192028,-0.058409,0.166077,-2.188554,-0.32664,-0.23809,-0.850991,-0.563407,0.813606,0.423668,-0.251182,-0.196727,-0.606536,-0.850246,hud
